pop,A,N,plot,x,y,ia,cw
ca,13,0,main,-122.1,37.9,0,T
cbc,8,3,main,-126.8,52.4,90,T
ebc,17,0,main,-121.6,52,0,T
ewa,7,0,main,-118.6,47.7,0,T
ghc,31,0,inset,-124.1,46.7,0,T
hom,0,15,main,-151.5,59.6,0,T
id,6,0,main,-116.4,43.7,0,T
jun,0,26,main,-134.8,58.7,0,T
sea,21,0,inset,-121.9,47.6,0,T
kit,10,3,inset,-122.9,47.5,90,T
la,2,0,main,-91.1,30.4,0,T
mi,2,0,main,-83.3,42.9,0,T
nbc,1,9,main,-130.1,54.7,270,F
neah,5,6,inset,-124.2,47.9,270,F
nf,1,0,main,-53.4,47.4,0,T
nvi,3,17,inset,-126.8,50.2,270,F
nynj,5,0,main,-73.8,40.7,0,T
sca,1,0,main,-117.3,35,0,T
tac,8,1,inset,-122.4,47,90,T
vic,6,9,inset,-123.7,48.7,270,F
yvr,17,6,inset,-122.6,49.3,90,T
