1	ca01	-38	:	0.989	0.011
2	ca02	-35	:	0.997	0.003
3	ca03	-39	:	0.99	0.01
4	ca04	-38	:	0.998	0.002
5	cbc01	-32	:	0.068	0.932
6	cbc02	-29	:	0.55	0.45
7	cbc03	-32	:	0.534	0.466
8	cbc04	-59	:	0.593	0.407
9	ewa01	-30	:	0.998	0.002
10	ewa02	-28	:	0.998	0.002
11	ewa03	-30	:	0.998	0.002
12	ewa04	-25	:	0.991	0.009
13	ewa05	-19	:	0.999	0.001
14	ghc01	-36	:	0.775	0.225
15	ghc02	-33	:	0.758	0.242
16	ghc03	-31	:	0.727	0.273
17	ghc04	-26	:	0.808	0.192
18	hmr01	-38	:	0	1
19	hmr02	-32	:	0	1
20	hmr03	-39	:	0	1
21	hmr04	-38	:	0	1
22	jun01	-36	:	0.001	0.999
23	jun02	-32	:	0.001	0.999
24	jun03	-34	:	0.001	0.999
25	jun04	-31	:	0.001	0.999
26	kit01	-30	:	0.596	0.404
27	kit02	-33	:	0.604	0.396
28	kit03	-37	:	0.562	0.438
29	kit04	-45	:	0.423	0.577
30	la01	-39	:	0.999	0.001
31	la02	-27	:	0.998	0.002
32	mi01	-30	:	0.999	0.001
33	mi02	-43	:	0.999	0.001
34	nbc01	-30	:	0.002	0.998
35	nbc02	-34	:	0.176	0.824
36	nbc03	-34	:	0.003	0.997
37	nbc04	-39	:	0.807	0.193
38	neah01	-28	:	0.607	0.393
39	neah02	-22	:	0.541	0.459
40	neah03	-23	:	0.521	0.479
41	neah04	-24	:	0.599	0.401
42	nf01	-28	:	0.999	0.001
43	nvi01	-32	:	0.187	0.813
44	nvi02	-37	:	0.105	0.895
45	nvi03	-32	:	0.162	0.838
46	nvi04	-32	:	0.162	0.838
47	nynj01	-35	:	0.999	0.001
48	nynj02	-34	:	0.999	0.001
49	nynj03	-40	:	0.998	0.002
50	nynj04	-42	:	0.999	0.001
51	sea01	-28	:	0.643	0.357
52	sea02	-36	:	0.598	0.402
53	sea03	-39	:	0.56	0.44
54	sea04	-32	:	0.689	0.311
55	vic01	-52	:	0.383	0.617
56	vic02	-42	:	0.38	0.62
57	vic03	-33	:	0.367	0.633
58	vic04	-67	:	0.318	0.682
59	yvr01	-27	:	0.56	0.44
60	yvr02	-30	:	0.55	0.45
61	yvr03	-31	:	0.499	0.501
62	yvr04	-26	:	0.538	0.462
