id,pop,A,N,nbc_cbc
ca01,ca,0.9888,0.0112,0
ca02,ca,0.9974,0.0026,0
ca03,ca,0.99,0.01,0
ca04,ca,0.9982,0.0018,0
cbc01,cbc,0.068,0.932,1
cbc02,cbc,0.5494,0.4506,1
cbc03,cbc,0.5346,0.4654,1
cbc04,cbc,0.5928,0.4072,1
ewa01,ewa,0.998,0.002,0
ewa02,ewa,0.998,0.002,0
ewa03,ewa,0.998,0.002,0
ewa04,ewa,0.991,0.009,0
ewa05,ewa,0.999,0.001,0
ghc01,ghc,0.7748,0.2252,0
ghc02,ghc,0.7578,0.2422,0
ghc03,ghc,0.7264,0.2736,0
ghc04,ghc,0.8086,0.1914,0
hmr01,hmr,0,1,0
hmr02,hmr,0,1,0
hmr03,hmr,0,1,0
hmr04,hmr,0.0002,0.9998,0
jun01,jun,0.001,0.999,0
jun02,jun,0.001,0.999,0
jun03,jun,0.001,0.999,0
jun04,jun,0.001,0.999,0
kit01,kit,0.5956,0.4044,0
kit02,kit,0.6042,0.3958,0
kit03,kit,0.5624,0.4376,0
kit04,kit,0.4224,0.5776,0
la01,la,0.999,0.001,0
la02,la,0.9984,0.0016,0
mi01,mi,0.999,0.001,0
mi02,mi,0.999,0.001,0
nbc01,nbc,0.002,0.998,1
nbc02,nbc,0.1762,0.8238,1
nbc03,nbc,0.003,0.997,1
nbc04,nbc,0.8068,0.1932,1
neah01,neah,0.6076,0.3924,0
neah02,neah,0.541,0.459,0
neah03,neah,0.5212,0.4788,0
neah04,neah,0.5996,0.4004,0
nf01,nf,0.999,0.001,0
nvi01,nvi,0.1872,0.8128,0
nvi02,nvi,0.105,0.895,0
nvi03,nvi,0.1616,0.8384,0
nvi04,nvi,0.162,0.838,0
nynj01,nynj,0.999,0.001,0
nynj02,nynj,0.999,0.001,0
nynj03,nynj,0.998,0.002,0
nynj04,nynj,0.999,0.001,0
sea01,sea,0.6426,0.3574,0
sea02,sea,0.598,0.402,0
sea03,sea,0.5596,0.4404,0
sea04,sea,0.6888,0.3112,0
vic01,vic,0.3838,0.6162,0
vic02,vic,0.3804,0.6196,0
vic03,vic,0.3666,0.6334,0
vic04,vic,0.318,0.682,0
yvr01,yvr,0.5598,0.4402,0
yvr02,yvr,0.5502,0.4498,0
yvr03,yvr,0.4988,0.5012,0
yvr04,yvr,0.5376,0.4624,0
