population,ddrad.id,sex,,,,,
jun,jun01,F,,,,,
jun,jun02,F,,,,,
jun,jun03,M,,,,,
jun,jun04,F,,,,,
cbc,cbc01,M,,,,,
cbc,cbc02,F,,,,,
cbc,cbc03,F,,,,,
cbc,cbc04,M,,,,,
ewa,ewa01,F,,,,,
ewa,ewa02,M,,,,,
ewa,ewa03,M,,,,,
ewa,ewa04,M,,,,,
ewa,ewa05,F,,,,,
ghc,ghc01,F,,,,,
ghc,ghc02,F,,,,,
ghc,ghc03,M,,,,,
ghc,ghc04,F,,,,,
hom,hmr01,F,,,,,
hom,hmr02,F,,,,,
hom,hmr03,F,,,,,
hom,hmr04,F,,,,,
kit,kit01,F,,,,,
kit,kit02,M,,,,,
kit,kit03,M,,,,,
kit,kit04,M,,,,,
la,la01,M,,,,,
la,la02,M,,,,,
mi,mi01,M,,,,,
mi,mi02,F,,,,,
nbc,nbc01,F,,,,,
nbc,nbc02,M,,,,,
nbc,nbc03,M,,,,,
nbc,nbc04,M,,,,,
nca,nca01,F,,,,,
nca,nca02,F,,,,,
nca,nca03,F,,,,,
nca,nca04,M,,,,,
neah,neah01,M,,,,,
neah,neah02,F,,,,,
neah,neah03,F,,,,,
neah,neah04,M,,,,,
nf,nf01,F,,,,,
nvi,nvi01,M,,,,,
nvi,nvi02,M,,,,,
nvi,nvi03,M,,,,,
nvi,nvi04,M,,,,,
nynj,nynj01,M,,,,,
nynj,nynj02,NA,,,,,
nynj,nynj03,NA,,,,,
nynj,nynj04,M,,,,,
sea,sea01,M,,,,,
sea,sea02,M,,,,,
sea,sea03,M,,,,,
sea,sea04,F,,,,,
vic,vic01,M,,,,,
vic,vic02,F,,,,,
vic,vic03,NA,,,,,
vic,vic04,M,,,,,
yvr,yvr01,F,,,,,
yvr,yvr02,M,,,,,
yvr,yvr03,M,,,,,
yvr,yvr04,NA,,,,,
