"","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest"
"X17950_26",0.1,0.0937,0.0969,0.0031,0.1,0.0063,0.0323,0.0625,-0.0667,0.0069
"X2_12",0.4071,0.284,0.3277,0.0437,0.3714,0.0874,0.1334,0.2354,-0.4337,0.1221
"X1_30",0.3265,0.2823,0.2779,-0.0044,0.2735,-0.0088,-0.0157,-0.032,-0.1565,-0.0122
"X5_18",0.0294,0.0297,0.0296,-2e-04,0.0294,-3e-04,-0.0056,-0.0112,0.0111,-3e-04
"X4_16",0.3254,0.2776,0.2777,1e-04,0.2778,2e-04,3e-04,6e-04,-0.1721,2e-04
"X8_27",0.4762,0.3554,0.3682,0.0128,0.381,0.0256,0.0347,0.0671,-0.34,0.0397
"X23_29",0.1667,0.2382,0.2457,0.0074,0.2531,0.0149,0.0303,0.0588,0.3004,0.0195
"X25_12",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X27_12",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X33_16",0.0556,0.1232,0.119,-0.0042,0.1148,-0.0084,-0.0351,-0.0728,0.549,-0.0095
"X35_33",0.3833,0.3631,0.3732,0.0101,0.3833,0.0203,0.0272,0.0529,-0.0559,0.0318
"X34_15",0.0833,0.0793,0.0813,0.002,0.0833,0.004,0.0247,0.0482,-0.0506,0.0044
"X37_23",0.5551,0.3572,0.4047,0.0475,0.4522,0.095,0.1173,0.21,-0.5541,0.1478
"X39_36",0.085,0.3032,0.3101,0.0069,0.317,0.0138,0.0222,0.0434,0.7198,0.0198
"X38_39",0.1088,0.2048,0.2068,0.002,0.2088,0.0041,0.0098,0.0194,0.4686,0.0051
"X51_40",0.1278,0.1215,0.1219,4e-04,0.1222,7e-04,0.003,0.006,-0.0518,8e-04
"X53_6",0.1944,0.3204,0.4102,0.0898,0.5,0.1796,0.2189,0.3592,0.3931,0.2643
"X64_29",0.125,0.1146,0.1198,0.0052,0.125,0.0104,0.0432,0.0829,-0.0904,0.0117
"X79_35",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X110_35",0.1111,0.1465,0.1566,0.0101,0.1667,0.0202,0.0645,0.1212,0.2414,0.0237
"X73_37",0.3278,0.2954,0.4477,0.1523,0.6,0.3046,0.3402,0.5077,-0.1097,0.4323
"X17972_32",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0056,0.0112,-0.0113,6e-04
"X82_20",0.0556,0.1048,0.1079,0.0032,0.1111,0.0064,0.0295,0.0572,0.4696,0.0071
"X98_27",0,0.1268,0.1301,0.0033,0.1333,0.0065,0.025,0.0488,1,0.0074
"X116_30",0.2143,0.2132,0.2494,0.0363,0.2857,0.0725,0.1454,0.2539,-0.0052,0.0922
"X117_27",0.0312,0.0316,0.0314,-2e-04,0.0312,-3e-04,-0.0051,-0.0102,0.0101,-3e-04
"X126_38",0.3441,0.2848,0.4586,0.1738,0.6324,0.3475,0.3789,0.5496,-0.2082,0.4859
"X141_31",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X143_18",0.2232,0.195,0.2024,0.0074,0.2098,0.0149,0.0367,0.0708,-0.1449,0.0184
"X142_31",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X145_18",0.2232,0.195,0.2024,0.0074,0.2098,0.0149,0.0367,0.0708,-0.1449,0.0184
"X144_31",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X147_18",0.2232,0.195,0.2024,0.0074,0.2098,0.0149,0.0367,0.0708,-0.1449,0.0184
"X146_31",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X148_31",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X150_18",0.1429,0.1282,0.1355,0.0073,0.1429,0.0147,0.0542,0.1028,-0.1146,0.0168
"X149_31",0.0588,0.0576,0.0582,6e-04,0.0588,0.0012,0.0105,0.0208,-0.0212,0.0013
"X133_25",0.0312,0.0929,0.0933,4e-04,0.0938,9e-04,0.0046,0.0091,0.6636,9e-04
"X17987_16",0.0714,0.1306,0.1367,0.0061,0.1429,0.0123,0.0449,0.0859,0.453,0.0141
"X151_35",0.3167,0.4542,0.4438,-0.0105,0.4333,-0.0209,-0.0236,-0.0483,0.3029,-0.0383
"X251_41",0.05,0.0494,0.0497,3e-04,0.05,6e-04,0.0061,0.012,-0.0122,6e-04
"X237_10",0.0278,0.0281,0.0279,-2e-04,0.0278,-3e-04,-0.006,-0.012,0.0119,-3e-04
"X17999_13",0.0385,0.0387,0.0386,-1e-04,0.0385,-2e-04,-0.0032,-0.0063,0.0063,-3e-04
"X157_39",0.1438,0.1888,0.1897,9e-04,0.1906,0.0018,0.0047,0.0094,0.2388,0.0022
