locus,Ho,Hs,Ht,Dst,Htp,Dstp,Fst,Fstp,Fis,Dest
13037_27,0,0,0.5,0.5,1,1,1,1,NA,1
20857_41,0,0,0.5,0.5,1,1,1,1,NA,1
8613_26,0.0278,0.0281,0.5002,0.4721,0.9722,0.9441,0.9438,0.9711,0.0119,0.9714
17638_19,0.0556,0.0547,0.4996,0.4449,0.9444,0.8897,0.8905,0.9421,-0.0154,0.9412
21513_32,0.0833,0.081,0.4988,0.4178,0.9167,0.8357,0.8377,0.9117,-0.0291,0.9093
10044_15,0.1,0.094,0.497,0.403,0.9,0.806,0.8108,0.8955,-0.0634,0.8896
9391_36,0.1056,0.1039,0.502,0.398,0.9,0.7961,0.7929,0.8845,-0.0155,0.8884
10876_29,0.1111,0.1028,0.4958,0.3931,0.8889,0.7861,0.7927,0.8844,-0.0811,0.8762
19834_30,0.1111,0.103,0.4959,0.393,0.8889,0.7859,0.7923,0.8841,-0.0789,0.8761
11585_32,0.0385,0.1101,0.4974,0.3873,0.8846,0.7745,0.7786,0.8755,0.6507,0.8703
16468_33,0.0625,0.1163,0.4956,0.3794,0.875,0.7587,0.7654,0.8671,0.4625,0.8586
14000_11,0.1389,0.1238,0.4925,0.3686,0.8611,0.7373,0.7486,0.8562,-0.1216,0.8415
13590_32,0.1429,0.1272,0.4922,0.365,0.8571,0.7299,0.7415,0.8516,-0.1228,0.8363
3809_20,0.1471,0.1303,0.4916,0.3613,0.8529,0.7227,0.735,0.8473,-0.129,0.8309
18524_37,0,0.1339,0.4955,0.3616,0.8571,0.7232,0.7297,0.8438,1,0.8351
7844_7,0.05,0.1361,0.4931,0.3569,0.85,0.7139,0.7239,0.8398,0.6327,0.8264
12342_21,0.1667,0.1442,0.4888,0.3446,0.8333,0.6892,0.705,0.827,-0.156,0.8053
4982_21,0.0556,0.1509,0.4921,0.3412,0.8333,0.6825,0.6934,0.819,0.6317,0.8037
5989_37,0.1667,0.1585,0.5026,0.3441,0.8467,0.6882,0.6847,0.8128,-0.0516,0.8178
9821_8,0.1875,0.1583,0.4854,0.3271,0.8125,0.6542,0.6739,0.8052,-0.1847,0.7772
10830_14,0.1813,0.1637,0.4959,0.3322,0.8281,0.6644,0.6699,0.8023,-0.1071,0.7945
9431_28,0.0625,0.1652,0.4888,0.3237,0.8125,0.6473,0.6621,0.7967,0.6216,0.7754
11451_39,0.1801,0.1697,0.5021,0.3324,0.8346,0.6648,0.662,0.7966,-0.0614,0.8007
12899_35,0.2,0.1651,0.4825,0.3175,0.8,0.6349,0.6579,0.7937,-0.2117,0.7605
13615_9,0.2,0.1655,0.4827,0.3173,0.8,0.6345,0.6573,0.7932,-0.2088,0.7603
9878_8,0.2,0.1656,0.4828,0.3172,0.8,0.6344,0.657,0.793,-0.2075,0.7603
